239;Sesgar Panty Marquillando;0;0.00666
239;Pulir Doblar Y Empacar Panty;0;0.00833
241;Alistamiento;0;0.000347221
241;Extendido;0;0.000902775
241;Trazado;0;0.000104167
241;Corte;0;0.000555554
243;Pegar Etiqueta En El Empaque;0;0.00166
243;Armar Contenido Paquete;0;0.02083
243;Envolver Y Empacar Paquete;0;0.03249
243;Sellar Paquete;0;0.00472
244;Tiempo De Alistamiento Del Carro;0;0.00333
244;Controlar Parametros Del Equipo;0;0.0025
244;Embalar Producto Esteril;0;0.00416
244;Tiempo De Alistamiendo Del Equipo;0;0.00416
246;Tiempo De Alistamiento Del Carro;0;0.00333
246;Controlar Parametros Del Equipo;0;0.0025
246;Embalar Producto Esteril;0;0.00416
246;Tiempo De Alistamiendo Del Equipo;0;0.00416
247;Armar Contenido Paquete;0;0.00833
247;Pegar Etiqueta;0;0.00166
247;Envolver Y Empacar Paquete;0;0.03249
247;Sellar Paquete;0;0.00472
248;Alistar Y Embalar 2 Carros;0;0.019230769
255;Tiempo De Alistamiento De Carro;0;0.05
255;Controlar Parametros Del Equipo;0;0.5
255;Embalar Producto Esteril;0;0.05
255;Tiempo De Alistamiento Del Equipo;0;0.055555
256;Sellar Empaque Por Un Lado;0;0.00166
256;Pegar Etiqueta En El Empaque;0;0.00166
256;Armar Contenido Paquete;0;0.02777
256;Envolver Y Empacar Paquete;0;0.02249
256;Sellar Paquete;0;0.00472
263;Alistar Y Embalar 2 Carros;0;0.035714286
264;Pegar Etiqueta;0;0.00166
264;Armar Contenido;0;0.00833
264;Envolver Y Empacar;0;0.02444
264;Sellar Paquete;0;0.00472
265;Tiempo De Alistamiento Del Carro;0;0.03333
265;Controlar Parametros Del Equipo;0;0.560605455
265;Embalar Producto Esteril;0;0.03333
265;Tiempo De Alistamiento Del Equipo;0;0.66666
266;Sellar Bolsa Por Un Lado;0;0.00166
266;Pegar Etiqueta;0;0.00166
266;Armar Contenido;0;0.03333
266;Envolver Y Empacar Paquete;0;0.03888
266;Sellar Paquete;0;0.00472
267;Alistar Y Embalar 2 Carros;0;0.6875
268;Sellar Bolsa Por Un Lado;0;0.00166
268;Envolver Baton Instrumentista;0;0.00833
268;Pegar Etiqueta;0;0.00166
268;Armar Contenido;0;0.03333
268;Envolver Y Empacar Paquete;0;0.03888
268;Sellar Paquete;0;0.00472
273;Doblar Campo En Acordeon;0;0.00194
274;Alistamiento;0;5.09E-05
274;Extendido;0;0.000200231
274;Trazado;0;6.37E-05
274;Corte Y Recogido;0;0.000162037
275;Cerrar Tiro Y Entrepierna;0;0.01
275;Sesgar Cintura;0;0.0025
275;Pulir,Doblar,Empacar Y Sellar;0;0.01333
276;Alistamiento;0;3.86E-05
276;Extendido;0;0.000150463
276;Trazado;0;6.33E-05
276;Corte Y Recogido;0;0.000108025
278;Tiempo De Alistamiento Del Carro;0;0.05
278;Control Parametros Del Equipo;0;0.6
278;Embalar Producto Esteril;0;0.05
278;Tiempo De Alistamaineto Del Equipo;0;0.066666
279;Pegar Etiqueta En El Empaque;0;0.00166
279;Armar Contenido Paquete;0;0.02083
279;Envolver Y Empacar Paquete;0;0.03249
279;Sellar Paquete;0;0.00472
281;Pegar Etiqueta En El Empaque;0;0.00166
281;Armar Contenido Paquete;0;0.02083
281;Envolver Y Empacar Paquete;0;0.03249
281;Sellar Paquete;0;0.00472
282;Servicio De Esterilizacion;0;0.0625
285;Cortar Bolsa;0;0.00222
285;Colocar Cinta Indicadora;0;0.00083
285;Pegar Etiqueta;0;0.00166
285;Armar Contenido;0;0.00833
285;Envolver Paquete Sobre Cubremesa;0;0.01666
285;Empacar Paquete Con Etiqueta;0;0.00416
285;Sellar Paquete;0;0.00333
286;Alistar Y Embalar 2 Carros;0;0.6875
287;Pegar Etiqueta;0;0.00166
287;Armar Contenido;0;0.0125
287;Envolver Y Empacar Paquete;0;0.04027
287;Sellar Paquete;0;0.00472
288;Armar Contenido;0;0.01666
288;Envolver Baton Instrumentista;0;0.00833
288;Envolver Paquete En Cubremesa;0;0.03333
288;Sellar Bolsa;0;0.00166
288;Pegar Etiqueta;0;0.00166
288;Empacar  Y Sellar Paquete;0;0.01333
289;Envolver Baton Instrumentista;0;0.00833
289;Armar Contenido;0;0.01388
289;Envolver Paquete;0;0.02777
289;Pegar Etiqueta Al Baton;0;0.00166
289;Pegar Etiqueta;0;0.00166
